source          ,target
strength        ,car
strength        ,transport
strength        ,lane
strength        ,vehicle
strength        ,infrastructure
strength        ,downtown
strength        ,road
strength        ,pedestrian
strength        ,metropolitan area
strength        ,urban area
strong          ,street
strong          ,car
strong          ,transport
strong          ,lane
strong          ,vehicle
strong          ,infrastructure
strong          ,downtown
strong          ,road
strong          ,pedestrian
strong          ,metropolitan area
strong          ,urban area
like            ,street
like            ,car
like            ,vehicle
like            ,flag
like            ,urban area
americans       ,street
americans       ,car
americans       ,politics
americans       ,vehicle
americans       ,flag
americans       ,urban area
I               ,street
I               ,car
I               ,vehicle
I               ,flag
I               ,urban area
outraged        ,street
outraged        ,car
outraged        ,politics
outraged        ,vehicle
outraged        ,flag
outraged        ,urban area
violence        ,street
violence        ,car
violence        ,politics
violence        ,vehicle
violence        ,flag
violence        ,urban area
lawlessness     ,street
lawlessness     ,car
lawlessness     ,politics
lawlessness     ,vehicle
lawlessness     ,flag
lawlessness     ,urban area
mayhem          ,street
mayhem          ,car
mayhem          ,politics
mayhem          ,vehicle
mayhem          ,flag
mayhem          ,urban area
demonstrator    ,street
demonstrator    ,car
demonstrator    ,politics
demonstrator    ,vehicle
demonstrator    ,flag
demonstrator    ,urban area
infiltrate      ,street
infiltrate      ,car
infiltrate      ,politics
infiltrate      ,vehicle
infiltrate      ,flag
infiltrate      ,urban area
capital         ,street
capital         ,car
capital         ,politics
capital         ,vehicle
capital         ,flag
capital         ,urban area
defile          ,street
defile          ,car
defile          ,politics
defile          ,vehicle
defile          ,flag
defile          ,urban area
seat            ,street
seat            ,car
seat            ,politics
seat            ,vehicle
seat            ,flag
seat            ,urban area
american        ,street
american        ,car
american        ,politics
american        ,vehicle
american        ,flag
american        ,urban area
democracy       ,street
democracy       ,car
democracy       ,politics
democracy       ,vehicle
democracy       ,flag
democracy       ,urban area
home            ,street
home            ,car
home            ,vehicle
home            ,flag
home            ,urban area
love            ,street
love            ,car
love            ,politics
love            ,vehicle
love            ,flag
love            ,urban area
engage          ,street
engage          ,transport
engage          ,politics
engage          ,vehicle
engage          ,infrastructure
engage          ,downtown
engage          ,road
engage          ,pedestrian
engage          ,urban area
act             ,street
act             ,transport
act             ,politics
act             ,vehicle
act             ,infrastructure
act             ,downtown
act             ,road
act             ,pedestrian
act             ,urban area
violence        ,transport
violence        ,infrastructure
violence        ,downtown
violence        ,road
violence        ,pedestrian
destruction     ,street
destruction     ,transport
destruction     ,politics
destruction     ,vehicle
destruction     ,infrastructure
destruction     ,downtown
destruction     ,road
destruction     ,pedestrian
destruction     ,urban area
represent       ,street
represent       ,transport
represent       ,politics
represent       ,vehicle
represent       ,infrastructure
represent       ,downtown
represent       ,road
represent       ,pedestrian
represent       ,urban area
election        ,street
election        ,transport
election        ,vehicle
election        ,infrastructure
election        ,downtown
election        ,road
election        ,pedestrian
election        ,urban area
steal           ,street
steal           ,transport
steal           ,vehicle
steal           ,infrastructure
steal           ,downtown
steal           ,road
steal           ,pedestrian
steal           ,urban area
landslide       ,street
landslide       ,transport
landslide       ,vehicle
landslide       ,infrastructure
landslide       ,downtown
landslide       ,road
landslide       ,pedestrian
landslide       ,urban area
new             ,street
new             ,transport
new             ,infrastructure
new             ,downtown
new             ,road
new             ,metropolitan area
new             ,urban area
administration  ,street
administration  ,transport
administration  ,infrastructure
administration  ,downtown
administration  ,road
administration  ,metropolitan area
administration  ,urban area
inaugurate      ,street
inaugurate      ,transport
inaugurate      ,infrastructure
inaugurate      ,downtown
inaugurate      ,road
inaugurate      ,metropolitan area
inaugurate      ,urban area
january         ,street
january         ,transport
january         ,infrastructure
january         ,downtown
january         ,road
january         ,metropolitan area
january         ,urban area
20th            ,street
20th            ,transport
20th            ,infrastructure
20th            ,downtown
20th            ,road
20th            ,metropolitan area
20th            ,urban area
focus           ,street
focus           ,transport
focus           ,infrastructure
focus           ,downtown
focus           ,road
focus           ,metropolitan area
focus           ,urban area
turn            ,street
turn            ,transport
turn            ,infrastructure
turn            ,downtown
turn            ,road
turn            ,metropolitan area
turn            ,urban area
ensure          ,street
ensure          ,transport
ensure          ,infrastructure
ensure          ,downtown
ensure          ,road
ensure          ,metropolitan area
ensure          ,urban area
smooth          ,street
smooth          ,transport
smooth          ,infrastructure
smooth          ,downtown
smooth          ,road
smooth          ,metropolitan area
smooth          ,urban area
orderly         ,street
orderly         ,transport
orderly         ,infrastructure
orderly         ,downtown
orderly         ,road
orderly         ,metropolitan area
orderly         ,urban area
seamless        ,street
seamless        ,transport
seamless        ,infrastructure
seamless        ,downtown
seamless        ,road
seamless        ,metropolitan area
seamless        ,urban area
transition      ,street
transition      ,transport
transition      ,infrastructure
transition      ,downtown
transition      ,road
transition      ,metropolitan area
transition      ,urban area
power           ,street
power           ,transport
power           ,infrastructure
power           ,downtown
power           ,road
power           ,metropolitan area
power           ,urban area
moment          ,street
moment          ,transport
moment          ,infrastructure
moment          ,downtown
moment          ,road
moment          ,metropolitan area
moment          ,urban area
healing         ,street
healing         ,transport
healing         ,infrastructure
healing         ,downtown
healing         ,road
healing         ,metropolitan area
healing         ,urban area
reconciliation  ,street
reconciliation  ,transport
reconciliation  ,infrastructure
reconciliation  ,downtown
reconciliation  ,road
reconciliation  ,metropolitan area
reconciliation  ,urban area
reactivate      ,street
reactivate      ,transport
reactivate      ,infrastructure
reactivate      ,downtown
reactivate      ,road
reactivate      ,metropolitan area
reactivate      ,urban area
presidential    ,street
presidential    ,transport
presidential    ,infrastructure
presidential    ,downtown
presidential    ,road
presidential    ,metropolitan area
presidential    ,urban area
twitter         ,street
twitter         ,transport
twitter         ,infrastructure
twitter         ,downtown
twitter         ,road
twitter         ,metropolitan area
twitter         ,urban area
account         ,street
account         ,transport
account         ,infrastructure
account         ,downtown
account         ,road
account         ,metropolitan area
account         ,urban area
today           ,street
today           ,transport
today           ,infrastructure
today           ,downtown
today           ,road
today           ,metropolitan area
today           ,urban area
unsurprising    ,street
unsurprising    ,transport
unsurprising    ,infrastructure
unsurprising    ,downtown
unsurprising    ,road
unsurprising    ,metropolitan area
unsurprising    ,urban area
statement       ,street
statement       ,transport
statement       ,infrastructure
statement       ,downtown
statement       ,road
statement       ,metropolitan area
statement       ,urban area
ask             ,street
ask             ,transport
ask             ,infrastructure
ask             ,downtown
ask             ,road
ask             ,metropolitan area
ask             ,urban area
I               ,transport
I               ,infrastructure
I               ,downtown
I               ,road
I               ,metropolitan area
inauguration    ,street
inauguration    ,transport
inauguration    ,infrastructure
inauguration    ,downtown
inauguration    ,road
inauguration    ,metropolitan area
inauguration    ,urban area
doth            ,street
doth            ,transport
doth            ,infrastructure
doth            ,downtown
doth            ,road
doth            ,metropolitan area
doth            ,urban area
joe             ,convention
joe             ,presentation
biden           ,convention
biden           ,presentation
shed            ,public speaking
shed            ,convention
shed            ,presentation
tear            ,public speaking
tear            ,convention
tear            ,presentation
I               ,orator
I               ,conversation
I               ,lecture
I               ,presentation
look            ,politics
look            ,speaker
look            ,public relations
look            ,news
look            ,spokesperson
look            ,public speaking
look            ,orator
look            ,conversation
look            ,professional
look            ,lecture
look            ,presentation
look            ,news conference
look            ,politician
look            ,official
look            ,speech
forward         ,politics
forward         ,speaker
forward         ,public relations
forward         ,news
forward         ,spokesperson
forward         ,public speaking
forward         ,orator
forward         ,conversation
forward         ,professional
forward         ,lecture
forward         ,presentation
forward         ,news conference
forward         ,politician
forward         ,official
forward         ,speech
leave           ,politics
leave           ,speaker
leave           ,public relations
leave           ,news
leave           ,spokesperson
leave           ,public speaking
leave           ,orator
leave           ,conversation
leave           ,professional
leave           ,lecture
leave           ,presentation
leave           ,news conference
leave           ,politician
leave           ,official
leave           ,speech
office          ,politics
office          ,speaker
office          ,public relations
office          ,news
office          ,spokesperson
office          ,public speaking
office          ,orator
office          ,conversation
office          ,professional
office          ,lecture
office          ,presentation
office          ,news conference
office          ,politician
office          ,official
office          ,speech
tell            ,politics
tell            ,speaker
tell            ,public relations
tell            ,spokesperson
tell            ,public speaking
tell            ,orator
tell            ,conversation
tell            ,professional
tell            ,lecture
tell            ,presentation
tell            ,news conference
tell            ,politician
tell            ,official
tell            ,speech
way             ,politics
way             ,speaker
way             ,public relations
way             ,spokesperson
way             ,public speaking
way             ,orator
way             ,conversation
way             ,professional
way             ,lecture
way             ,presentation
way             ,news conference
way             ,politician
way             ,official
way             ,speech
indicate        ,politics
indicate        ,speaker
indicate        ,public relations
indicate        ,news
indicate        ,spokesperson
indicate        ,public speaking
indicate        ,orator
indicate        ,conversation
indicate        ,professional
indicate        ,lecture
indicate        ,presentation
indicate        ,news conference
indicate        ,politician
indicate        ,official
indicate        ,speech
inauguration    ,politics
inauguration    ,speaker
inauguration    ,public relations
inauguration    ,news
inauguration    ,spokesperson
inauguration    ,orator
inauguration    ,conversation
inauguration    ,professional
inauguration    ,lecture
inauguration    ,presentation
inauguration    ,news conference
inauguration    ,politician
inauguration    ,official
thing           ,public relations
thing           ,news
thing           ,spokesperson
thing           ,orator
thing           ,conversation
thing           ,lecture
thing           ,presentation
thing           ,news conference
agree           ,politics
agree           ,speaker
agree           ,public relations
agree           ,news
agree           ,spokesperson
agree           ,orator
agree           ,conversation
agree           ,professional
agree           ,lecture
agree           ,presentation
agree           ,news conference
agree           ,politician
agree           ,official
good            ,politics
good            ,speaker
good            ,public relations
good            ,news
good            ,spokesperson
good            ,orator
good            ,conversation
good            ,professional
good            ,lecture
good            ,presentation
good            ,news conference
good            ,politician
good            ,official
resignation     ,room
threat          ,room
removal         ,room
explain         ,skyscraper
explain         ,landmark
explain         ,night
explain         ,dome
explain         ,tower
explain         ,downtown
explain         ,metropolis
explain         ,city
explain         ,tourist attraction
explain         ,metropolitan area
explain         ,building
explain         ,spire
explain         ,skyline
explain         ,urban area
explain         ,cityscape
astonish        ,skyscraper
astonish        ,landmark
astonish        ,night
astonish        ,dome
astonish        ,tower
astonish        ,downtown
astonish        ,metropolis
astonish        ,city
astonish        ,tourist attraction
astonish        ,metropolitan area
astonish        ,building
astonish        ,spire
astonish        ,skyline
astonish        ,urban area
astonish        ,cityscape
v               ,skyscraper
v               ,landmark
v               ,night
v               ,dome
v               ,tower
v               ,downtown
v               ,metropolis
v               ,city
v               ,tourist attraction
v               ,metropolitan area
v               ,building
v               ,spire
v               ,skyline
v               ,urban area
v               ,cityscape
fast            ,skyscraper
fast            ,landmark
fast            ,night
fast            ,dome
fast            ,tower
fast            ,downtown
fast            ,metropolis
fast            ,city
fast            ,tourist attraction
fast            ,metropolitan area
fast            ,building
fast            ,spire
fast            ,skyline
fast            ,urban area
fast            ,cityscape
donald          ,skyscraper
donald          ,landmark
donald          ,night
donald          ,dome
donald          ,tower
donald          ,downtown
donald          ,metropolis
donald          ,city
donald          ,tourist attraction
donald          ,metropolitan area
donald          ,building
donald          ,spire
donald          ,skyline
donald          ,urban area
donald          ,cityscape
trump           ,skyscraper
trump           ,landmark
trump           ,night
trump           ,dome
trump           ,tower
trump           ,downtown
trump           ,metropolis
trump           ,city
trump           ,tourist attraction
trump           ,metropolitan area
trump           ,building
trump           ,spire
trump           ,skyline
trump           ,urban area
trump           ,cityscape
option          ,landmark
option          ,night
confirm         ,chin
confirm         ,facial expression
confirm         ,head
confirm         ,eyebrow
confirm         ,forehead
confirm         ,facial hair
confirm         ,hair
confirm         ,nose
capitol         ,chin
capitol         ,facial expression
capitol         ,head
capitol         ,eyebrow
capitol         ,forehead
capitol         ,facial hair
capitol         ,nose
policeman       ,chin
policeman       ,facial expression
policeman       ,head
policeman       ,eyebrow
policeman       ,forehead
policeman       ,facial hair
policeman       ,hair
policeman       ,nose
brand           ,chin
brand           ,facial expression
brand           ,head
brand           ,eyebrow
brand           ,forehead
brand           ,facial hair
brand           ,hair
brand           ,nose
sick            ,chin
sick            ,facial expression
sick            ,head
sick            ,eyebrow
sick            ,forehead
sick            ,facial hair
sick            ,hair
sick            ,nose
nick            ,chin
nick            ,facial expression
nick            ,head
nick            ,eyebrow
nick            ,forehead
nick            ,facial hair
nick            ,hair
nick            ,nose
die             ,chin
die             ,facial expression
die             ,head
die             ,eyebrow
die             ,forehead
die             ,facial hair
die             ,hair
die             ,nose
injury          ,chin
injury          ,facial expression
injury          ,head
injury          ,eyebrow
injury          ,forehead
injury          ,facial hair
injury          ,hair
injury          ,nose
receive         ,chin
receive         ,facial expression
receive         ,head
receive         ,eyebrow
receive         ,forehead
receive         ,facial hair
receive         ,hair
receive         ,nose
try             ,chin
try             ,facial expression
try             ,head
try             ,eyebrow
try             ,forehead
try             ,facial hair
try             ,hair
try             ,nose
hold            ,chin
hold            ,facial expression
hold            ,head
hold            ,eyebrow
hold            ,forehead
hold            ,facial hair
hold            ,hair
hold            ,nose
writer          ,chin
writer          ,facial expression
writer          ,head
writer          ,eyebrow
writer          ,forehead
writer          ,facial hair
writer          ,hair
writer          ,nose
today           ,architecture
today           ,column
today           ,building
order           ,architecture
order           ,column
order           ,building
flag            ,architecture
flag            ,column
flag            ,building
fly             ,architecture
fly             ,column
fly             ,building
halfmast        ,architecture
halfmast        ,column
halfmast        ,building
honor           ,architecture
honor           ,column
honor           ,building
half            ,architecture
half            ,column
half            ,building
staff           ,architecture
staff           ,column
staff           ,building
american        ,architecture
american        ,column
american        ,building
democracy       ,architecture
democracy       ,column
democracy       ,building
john            ,architecture
john            ,column
john            ,building
12              ,architecture
12              ,column
12              ,building
day             ,architecture
day             ,column
day             ,building
leave           ,architecture
leave           ,column
leave           ,building
president       ,column
trump           ,architecture
trump           ,column
term            ,architecture
term            ,column
term            ,building
office          ,architecture
office          ,column
office          ,building
lot             ,architecture
lot             ,column
lot             ,building
happen          ,architecture
happen          ,column
happen          ,building
long            ,facial expression
long            ,emotion
long            ,tree
long            ,human
12              ,facial expression
12              ,emotion
12              ,tree
12              ,human
day             ,facial expression
day             ,emotion
day             ,tree
democrats       ,emotion
democrats       ,tree
democrats       ,human
plan            ,facial expression
plan            ,emotion
plan            ,tree
plan            ,human
draw            ,facial expression
draw            ,emotion
draw            ,tree
draw            ,human
article         ,facial expression
article         ,emotion
article         ,tree
article         ,human
impeachment     ,facial expression
impeachment     ,emotion
impeachment     ,tree
impeachment     ,human
impeach         ,facial expression
impeach         ,emotion
impeach         ,tree
second          ,facial expression
second          ,emotion
second          ,tree
second          ,human
time            ,emotion
time            ,tree
house           ,emotion
house           ,tree
apparently      ,facial expression
apparently      ,emotion
apparently      ,tree
apparently      ,human
raid            ,facial expression
raid            ,emotion
raid            ,tree
raid            ,human
congress        ,emotion
congress        ,tree
place           ,facial expression
place           ,emotion
place           ,tree
accuse          ,facial expression
accuse          ,emotion
accuse          ,tree
accuse          ,human
donald          ,facial expression
donald          ,emotion
donald          ,tree
trump           ,emotion
trump           ,tree
intention       ,facial expression
intention       ,emotion
intention       ,tree
intention       ,human
cause           ,facial expression
cause           ,emotion
cause           ,tree
cause           ,human
insurrection    ,facial expression
insurrection    ,emotion
insurrection    ,tree
insurrection    ,human
nancy           ,facial expression
nancy           ,emotion
nancy           ,tree
nancy           ,human
pelosi          ,facial expression
pelosi          ,emotion
pelosi          ,tree
pelosi          ,human
speaker         ,facial expression
speaker         ,emotion
speaker         ,tree
speaker         ,human
touch           ,facial expression
touch           ,emotion
touch           ,tree
touch           ,human
commander       ,facial expression
commander       ,emotion
commander       ,tree
commander       ,human
military        ,facial expression
military        ,emotion
military        ,tree
military        ,human
president       ,emotion
president       ,tree
strip           ,facial expression
strip           ,emotion
strip           ,tree
strip           ,human
nuclear         ,facial expression
nuclear         ,emotion
nuclear         ,tree
nuclear         ,human
code            ,facial expression
code            ,emotion
code            ,tree
code            ,human
reliable        ,facial expression
reliable        ,emotion
reliable        ,tree
reliable        ,human
person          ,facial expression
person          ,emotion
person          ,tree
white           ,facial expression
white           ,emotion
white           ,tree
far             ,facial expression
far             ,emotion
far             ,tree
far             ,human
division        ,facial expression
division        ,emotion
division        ,tree
division        ,human
republican      ,emotion
republican      ,tree
republican      ,human
ought           ,facial expression
ought           ,emotion
ought           ,tree
ought           ,human
know            ,facial expression
know            ,emotion
know            ,tree
know            ,human
night           ,facial expression
night           ,emotion
night           ,tree
auto            ,facial expression
auto            ,emotion
auto            ,tree
auto            ,human
cute            ,facial expression
cute            ,emotion
cute            ,tree
cute            ,human
let             ,emotion
let             ,tree
let             ,human
rip             ,facial expression
rip             ,emotion
rip             ,tree
rip             ,human
lot             ,facial expression
lot             ,emotion
lot             ,tree
uncertainty     ,facial expression
uncertainty     ,emotion
uncertainty     ,tree
uncertainty     ,human
look            ,emotion
look            ,tree
look            ,human
right           ,facial expression
right           ,emotion
right           ,tree
week            ,facial expression
week            ,emotion
week            ,tree
week            ,human
turbulence      ,facial expression
turbulence      ,emotion
turbulence      ,tree
turbulence      ,human
way             ,facial expression
way             ,emotion
way             ,tree
american        ,emotion
american        ,tree
history         ,facial expression
history         ,emotion
history         ,tree
history         ,human
yesterday       ,facial expression
yesterday       ,emotion
yesterday       ,tree
yesterday       ,human
thousand        ,facial expression
thousand        ,emotion
thousand        ,tree
thousand        ,human
people          ,emotion
people          ,tree
die             ,emotion
die             ,tree
die             ,human
covid           ,facial expression
covid           ,emotion
covid           ,tree
covid           ,human
high            ,facial expression
high            ,emotion
high            ,tree
high            ,human
single          ,facial expression
single          ,emotion
single          ,tree
single          ,human
total           ,facial expression
total           ,emotion
total           ,tree
total           ,human
today           ,facial expression
today           ,emotion
today           ,tree
jobless         ,facial expression
jobless         ,emotion
jobless         ,tree
jobless         ,human
assault         ,facial expression
assault         ,emotion
assault         ,tree
assault         ,human
americans       ,facial expression
americans       ,emotion
americans       ,tree
americans       ,human
divide          ,emotion
divide          ,tree
divide          ,human
angry           ,facial expression
angry           ,emotion
angry           ,tree
legacy          ,facial expression
legacy          ,emotion
legacy          ,tree
joe             ,emotion
joe             ,tree
biden           ,emotion
biden           ,tree
inheritance     ,facial expression
inheritance     ,emotion
inheritance     ,tree
inheritance     ,human
thank           ,television program
president       ,sport venue
president       ,team sport
president       ,games
president       ,sports
president       ,ball game
president       ,player
president       ,stadium
trump           ,sport venue
trump           ,team sport
trump           ,games
trump           ,sports
trump           ,ball game
trump           ,player
trump           ,stadium
announce        ,sport venue
announce        ,team sport
announce        ,games
announce        ,people
announce        ,sports
announce        ,crowd
announce        ,ball game
announce        ,player
announce        ,stadium
attend          ,sport venue
attend          ,team sport
attend          ,games
attend          ,people
attend          ,sports
attend          ,crowd
attend          ,ball game
attend          ,player
attend          ,stadium
inauguration    ,sport venue
inauguration    ,team sport
inauguration    ,games
inauguration    ,people
inauguration    ,sports
inauguration    ,crowd
inauguration    ,ball game
inauguration    ,player
inauguration    ,stadium
joe             ,audience
joe             ,sport venue
joe             ,team sport
joe             ,games
joe             ,people
joe             ,sports
joe             ,ball game
joe             ,player
joe             ,stadium
biden           ,audience
biden           ,sport venue
biden           ,team sport
biden           ,games
biden           ,people
biden           ,sports
biden           ,ball game
biden           ,player
biden           ,stadium
hour            ,audience
hour            ,sport venue
hour            ,team sport
hour            ,games
hour            ,people
hour            ,sports
hour            ,crowd
hour            ,ball game
hour            ,player
hour            ,stadium
promise         ,audience
promise         ,sport venue
promise         ,team sport
promise         ,games
promise         ,people
promise         ,sports
promise         ,crowd
promise         ,ball game
promise         ,player
promise         ,stadium
peaceful        ,audience
peaceful        ,sport venue
peaceful        ,team sport
peaceful        ,games
peaceful        ,people
peaceful        ,sports
peaceful        ,ball game
peaceful        ,player
peaceful        ,stadium
transition      ,audience
transition      ,sport venue
transition      ,team sport
transition      ,games
transition      ,people
transition      ,sports
transition      ,crowd
transition      ,ball game
transition      ,player
transition      ,stadium
president       ,audience
miss            ,audience
miss            ,sport venue
miss            ,team sport
miss            ,games
miss            ,people
miss            ,sports
miss            ,crowd
miss            ,ball game
miss            ,player
miss            ,stadium
ceremony        ,audience
ceremony        ,sport venue
ceremony        ,team sport
ceremony        ,games
ceremony        ,people
ceremony        ,sports
ceremony        ,crowd
ceremony        ,ball game
ceremony        ,player
ceremony        ,stadium
year            ,audience
year            ,people
year            ,sports
year            ,crowd
year            ,player
decision        ,audience
decision        ,people
decision        ,sports
decision        ,crowd
decision        ,player
good            ,audience
good            ,people
good            ,sports
good            ,crowd
good            ,player
thing           ,audience
thing           ,people
thing           ,sports
thing           ,crowd
thing           ,player
agree           ,audience
agree           ,people
agree           ,sports
agree           ,crowd
agree           ,player
trump           ,audience
embarrassment   ,audience
embarrassment   ,people
embarrassment   ,sports
embarrassment   ,crowd
embarrassment   ,player
country         ,audience
country         ,people
country         ,sports
country         ,crowd
country         ,player
north           ,audience
north           ,people
north           ,sports
north           ,crowd
north           ,player
america         ,audience
america         ,people
america         ,sports
america         ,crowd
america         ,player
editor          ,audience
editor          ,people
editor          ,sports
editor          ,crowd
editor          ,player
john            ,audience
john            ,people
john            ,sports
john            ,crowd
john            ,player
pool            ,audience
pool            ,people
pool            ,sports
pool            ,crowd
pool            ,player
report          ,audience
report          ,people
report          ,sports
report          ,player
word            ,audience
word            ,people
word            ,sports
word            ,crowd
word            ,player
horse           ,audience
horse           ,people
horse           ,sports
horse           ,crowd
horse           ,player
stable          ,audience
stable          ,people
stable          ,sports
stable          ,crowd
stable          ,player
door            ,audience
door            ,people
door            ,sports
door            ,player
come            ,audience
come            ,sports
come            ,player
mind            ,audience
mind            ,people
mind            ,sports
mind            ,crowd
mind            ,player
contractor      ,audience
contractor      ,people
contractor      ,crowd
contractor      ,player
bring           ,audience
bring           ,people
bring           ,crowd
bring           ,player
erect           ,audience
erect           ,football player
erect           ,sport venue
erect           ,team sport
erect           ,games
erect           ,people
erect           ,sports
erect           ,soccer
erect           ,ball
erect           ,parade
erect           ,crowd
erect           ,ball game
erect           ,player
erect           ,festival
erect           ,stadium
proper          ,audience
proper          ,football player
proper          ,sport venue
proper          ,team sport
proper          ,games
proper          ,people
proper          ,sports
proper          ,soccer
proper          ,ball
proper          ,parade
proper          ,crowd
proper          ,ball game
proper          ,player
proper          ,festival
proper          ,stadium
security        ,audience
security        ,football player
security        ,sport venue
security        ,team sport
security        ,games
security        ,people
security        ,sports
security        ,soccer
security        ,ball
security        ,parade
security        ,crowd
security        ,ball game
security        ,player
security        ,festival
security        ,stadium
capitol         ,football player
capitol         ,sport venue
capitol         ,team sport
capitol         ,games
capitol         ,sports
capitol         ,soccer
capitol         ,ball
capitol         ,parade
capitol         ,ball game
capitol         ,player
capitol         ,festival
capitol         ,stadium
hill            ,audience
hill            ,football player
hill            ,sport venue
hill            ,team sport
hill            ,games
hill            ,people
hill            ,sports
hill            ,soccer
hill            ,ball
hill            ,parade
hill            ,crowd
hill            ,ball game
hill            ,player
hill            ,festival
hill            ,stadium
complex         ,audience
complex         ,football player
complex         ,sport venue
complex         ,team sport
complex         ,games
complex         ,people
complex         ,sports
complex         ,soccer
complex         ,ball
complex         ,parade
complex         ,crowd
complex         ,ball game
complex         ,player
complex         ,festival
complex         ,stadium
alarmingly      ,audience
alarmingly      ,football player
alarmingly      ,sport venue
alarmingly      ,team sport
alarmingly      ,games
alarmingly      ,people
alarmingly      ,sports
alarmingly      ,soccer
alarmingly      ,ball
alarmingly      ,parade
alarmingly      ,ball game
alarmingly      ,player
alarmingly      ,festival
alarmingly      ,stadium
easily          ,audience
easily          ,football player
easily          ,sport venue
easily          ,team sport
easily          ,games
easily          ,people
easily          ,sports
easily          ,soccer
easily          ,ball
easily          ,parade
easily          ,crowd
easily          ,ball game
easily          ,player
easily          ,festival
easily          ,stadium
breach          ,audience
breach          ,football player
breach          ,sport venue
breach          ,team sport
breach          ,games
breach          ,people
breach          ,sports
breach          ,soccer
breach          ,ball
breach          ,parade
breach          ,ball game
breach          ,player
breach          ,festival
breach          ,stadium
trump           ,football player
trump           ,soccer
trump           ,ball
trump           ,parade
trump           ,festival
mob             ,circle
mob             ,monochrome photography
mob             ,font
mob             ,monochrome
mob             ,3d modeling
mob             ,graphic design
mob             ,black and white
mob             ,text
mob             ,black
mob             ,graphics
wednesday       ,circle
wednesday       ,monochrome photography
wednesday       ,font
wednesday       ,monochrome
wednesday       ,3d modeling
wednesday       ,graphic design
wednesday       ,black and white
wednesday       ,text
wednesday       ,black
wednesday       ,graphics
night           ,circle
night           ,monochrome photography
night           ,font
night           ,monochrome
night           ,3d modeling
night           ,graphic design
night           ,black and white
night           ,text
night           ,black
night           ,graphics
repercussion    ,circle
repercussion    ,monochrome photography
repercussion    ,font
repercussion    ,monochrome
repercussion    ,3d modeling
repercussion    ,graphic design
repercussion    ,black and white
repercussion    ,text
repercussion    ,black
repercussion    ,graphics
feel            ,circle
feel            ,monochrome photography
feel            ,font
feel            ,monochrome
feel            ,3d modeling
feel            ,graphic design
feel            ,black and white
feel            ,text
feel            ,black
feel            ,graphics
chasten         ,circle
chasten         ,monochrome photography
chasten         ,font
chasten         ,monochrome
chasten         ,3d modeling
chasten         ,graphic design
chasten         ,black and white
chasten         ,text
chasten         ,black
chasten         ,graphics
tense           ,circle
tense           ,monochrome photography
tense           ,font
tense           ,monochrome
tense           ,3d modeling
tense           ,graphic design
tense           ,black and white
tense           ,text
tense           ,black
tense           ,graphics
president       ,circle
president       ,monochrome photography
president       ,font
president       ,monochrome
president       ,3d modeling
president       ,graphic design
president       ,black and white
president       ,text
president       ,black
president       ,graphics
speak           ,circle
speak           ,monochrome photography
speak           ,font
speak           ,monochrome
speak           ,3d modeling
speak           ,graphic design
speak           ,black and white
speak           ,text
speak           ,black
speak           ,graphics
word            ,circle
word            ,monochrome photography
word            ,font
word            ,monochrome
word            ,3d modeling
word            ,graphic design
word            ,black and white
word            ,text
word            ,black
word            ,graphics
clearly         ,circle
clearly         ,monochrome photography
clearly         ,font
clearly         ,monochrome
clearly         ,3d modeling
clearly         ,graphic design
clearly         ,black and white
clearly         ,text
clearly         ,black
clearly         ,graphics
write           ,circle
write           ,monochrome photography
write           ,font
write           ,monochrome
write           ,3d modeling
write           ,graphic design
write           ,black and white
write           ,text
write           ,black
write           ,graphics
I               ,circle
I               ,monochrome photography
I               ,font
I               ,monochrome
I               ,3d modeling
I               ,graphic design
I               ,black and white
I               ,text
I               ,black
I               ,graphics
like            ,circle
like            ,monochrome photography
like            ,font
like            ,monochrome
like            ,3d modeling
like            ,graphic design
like            ,black and white
like            ,text
like            ,black
like            ,graphics
begin           ,circle
begin           ,monochrome photography
begin           ,font
begin           ,monochrome
begin           ,3d modeling
begin           ,graphic design
begin           ,black and white
begin           ,text
begin           ,black
begin           ,graphics
address         ,circle
address         ,monochrome photography
address         ,font
address         ,monochrome
address         ,3d modeling
address         ,graphic design
address         ,black and white
address         ,text
address         ,black
address         ,graphics
heinous         ,circle
heinous         ,monochrome photography
heinous         ,font
heinous         ,monochrome
heinous         ,3d modeling
heinous         ,graphic design
heinous         ,black and white
heinous         ,text
heinous         ,black
heinous         ,graphics
attack          ,circle
attack          ,monochrome photography
attack          ,font
attack          ,monochrome
attack          ,3d modeling
attack          ,graphic design
attack          ,black and white
attack          ,text
attack          ,black
attack          ,graphics
change          ,circle
change          ,monochrome photography
change          ,font
change          ,monochrome
change          ,3d modeling
change          ,graphic design
change          ,black and white
change          ,text
change          ,black
change          ,graphics
tone            ,circle
tone            ,monochrome photography
tone            ,font
tone            ,monochrome
tone            ,3d modeling
tone            ,graphic design
tone            ,black and white
tone            ,text
tone            ,black
tone            ,graphics
substance       ,circle
substance       ,monochrome photography
substance       ,font
substance       ,monochrome
substance       ,3d modeling
substance       ,graphic design
substance       ,black and white
substance       ,text
substance       ,black
substance       ,graphics
hour            ,circle
hour            ,monochrome photography
hour            ,font
hour            ,monochrome
hour            ,3d modeling
hour            ,graphic design
hour            ,black and white
hour            ,text
hour            ,black
hour            ,graphics
startle         ,circle
startle         ,monochrome photography
startle         ,font
startle         ,monochrome
